"Category","RelativePath","Bytes","Chars","Lines","SHA256","ChunkChars","TotalChunks","ReadUntil","Status"
"00-book","00-book\Bonython, Elizabeth; Burton, Anthony：The Great Exhibitor：The Life and Work of Henry Cole, 2003.md","1163195","1159868","28","9AA06C4AFE1E1B8749402DEC23544F4C65A682B952F44A2BF4747E6510E29F56","7000","166","1159868","COMPLETE"
"00-book","00-book\Brad Frost：《Atomic Design》.md","264779","262167","2545","C914D4038989F12ED755AB7D0EC5CF4929731A81EC94AAA458572B67D35B5064","7000","38","262167","COMPLETE"
"00-book","00-book\Bret Easton Ellis：《White》，2019.md","413199","407072","34","0FA34B4DED841854CE02C6B293DD2C1EA058FCBEB4B2F971BBD434F052197A90","7000","59","407072","COMPLETE"
"00-book","00-book\Briggs, Asa：《Victorian things》.md","1284993","1281127","30","F03B65296DFC8C7AEE774FA32F4F79010AA62A8AA35105E2EB80A089192199FA","7000","184","1281127","COMPLETE"
"00-book","00-book\Brigitte Borja de Mozota：《Design Management Using Design to Build Brand Value and Corporate Innovation》，2003.md","747810","740778","44","0E1882E2380E2A43A20BF352BDA14068BD6302C16A1343A3E99FA2F927AC592D","7000","106","740778","COMPLETE"
"00-book","00-book\Bringing design to software (Terry Winograd, (ed.)).md","650099","648043","4634","2F2A54639AE0F78D3B3284A717AA8EFF65BBCC0AE248E8D522EA571929836CCB","7000","93","648043","COMPLETE"
"00-book","00-book\Bruno Latour：《We Have Never Been Modern》，1991.md","416639","415457","22","A546E3E04D96EE272EB2D52376619F74EB9046F6D20FA3F9B33DEF16EEB31BCE","7000","60","415457","COMPLETE"
"00-book","00-book\BUCHANAN, RICHARD. Branzi.md","47663","47573","140","C487DDA191C135015799F18682F1CD4BEC5DF3759683AEE0ECEC584BC5F92A25","7000","7","47573","COMPLETE"
"00-book","00-book\Buchanan, Richard; Doordan, Dennis P.; Margolin, Victor (eds.), The Designed World, 2010.md","1465146","1449420","16205","7B55E6ABB7CE923CC24D591180E408C2826D0D472C386643EA72CD5F660B4A05","7000","208","1449420","COMPLETE"
"00-book","00-book\Buchanan, Richard; Margolin, Victor (eds.), Discovering Design, 1995.md","1586608","1579205","15358","E1381CDC8C0CD51D80F54EF08F9E3902D2F0EA96D16C3F8EF0730BE4C8030AAD","7000","226","1579205","COMPLETE"
"00-book","00-book\Buchanan, Richard; Margolin, Victor (eds.), The Idea of Design, 1995.md","1323786","1317840","16393","E3CEFF092D3A004FDAA8BC3F7F70DAD20B0DF01C4B32B1B80A806ABBD4D3ABE9","7000","189","1317840","COMPLETE"
"00-book","00-book\Buddensieg, Tilmann; Rogge, Henning：《Industriekultur Peter Behrens and the AEG, 1907-1914》.md","1120508","1116534","80","36E722B72BCCE1BFBD5C9CE7947A4D4A9E3D7A1ED62E383C94EC74A57ECD40AD","7000","160","1116534","COMPLETE"
"00-book","00-book\By Edgar Kaufmann：《Introduction To Modern Design》.md","124841","124632","1068","0F1077574517D8EC9DF951899FE280839ADF2B7744BB9FE4A5FB02A92F8777F8","7000","18","124632","COMPLETE"
"00-book","00-book\Cairo：《The functional art an introduction to information graphics and visualization》.md","609546","607260","6139","4DE49AC1DDF9E9B61E16BF5BBBA6D011C04D615DC85D85818ED6D17142E2CEC3","7000","87","607260","COMPLETE"
"00-book","00-book\Calhoun：《Critical social theory culture, history, and the challenge of difference》.md","975268","972517","4350","9724F64C14DAC5DF5A6F5302201B3A47CBBA1CD59905267C780F066BF907AA69","7000","139","972517","COMPLETE"
"00-book","00-book\Campbell, Joan：《The German Werkbund the politics of reform in the applied arts》.md","556426","555109","12","5E0B4317B6A3E4FD614AAC73DB54610C74D6EAC9CC4C627FF6CCB3DF0538B463","7000","80","555109","COMPLETE"
"00-book","00-book\Carl DiSalvo：《Adversarial Design》.md","738923","273049","3364","357C6F5561343059B5D0645D0AF9E3D99D0CBAF9C0A79ABFBAD2B8C8A11E71C3","7000","40","273049","COMPLETE"
"00-book","00-book\Carroll Gantz：《Founders of American Industrial Design》，2014.md","722732","719453","36","D05B6F90545487BD58548C43A50049A7E2201D08554656D94799398A742B3281","7000","103","719453","COMPLETE"
"00-book","00-book\Carter, Sebastian：Twentieth Century Type Designers, 1987.md","406210","405086","155","C5D5282DC8CE6AAA937DF8A0C89E605E0D6E01FD42952A9206BBBDE31B21DAD2","7000","58","405086","COMPLETE"
"00-book","00-book\Catherine Cooke：《Russian Avant-Garde Theories of Art, Architecture and the City》，1995.md","27789","27738","4","14D0B481381079C8371B7635EF79C9BA60087643A13136644C091D977ABF7462","7000","4","27738","COMPLETE"
"00-book","00-book\Catriona Kelly, David Shepherd：《Constructing Russian culture in the age of revolution, 1881-1940》.md","1044352","1039966","106","95AA12745F81D25A369FD80EA151F4C3A06003EE6C7B87B81200FCC98E03751A","7000","149","1039966","COMPLETE"
"00-book","00-book\Charles Harvey, Jon Press：《William Morris design and enterprise in Victorian England》.md","740085","736992","36","6BD17625DC3819F366CF82D54294D7DB886DB9D3F9BFEF251005551EAE69ED29","7000","106","736992","COMPLETE"
"00-book","00-book\Charles Jencks：《The Language of Post-Modern Architecture》，1977.md","217445","217095","8","0DA8D95CE459801613CE920707D5962BEFB5065C55843C3516C314DDF768844A","7000","32","217095","COMPLETE"
"00-book","00-book\Charles, Victoria：Neoclassicism, 2019.md","75313","74930","40","79C32284A9C74FC9BAFA56099683BED96322418F37203CF9CD25F2C6F7996E57","7000","11","74930","COMPLETE"
"00-book","00-book\Charlotte Benton, Tim Benton：《Art Deco 1910–1939》.md","1629592","1623087","102","1002538279539BEFCEA07DB983A2E9FF85A59637F011E3C14A9DEBD43509E4D0","7000","232","1623087","COMPLETE"
"00-book","00-book\Charlotte Fiell, Peter Fiell：《1000 Chairs》.md","789378","774220","20","D216BD9CABDF674A5665C5BB46458ECC3D52F54D94892C82BEC252D237D71514","7000","111","774220","COMPLETE"
"00-book","00-book\Charlotte Fiell, Peter Fiell：《Design of the 20th Century》，1999.md","1016935","1010968","40","9DAFB3EAB5D60DD3D65DCAF5F3AAF77D40E7FB10C22F74B883AAE374D72C36EB","7000","145","1010968","COMPLETE"
"00-book","00-book\Charlotte Fiell, Peter Fiell：《Scandinavian Design》，2002.md","879269","873034","300","1984B742A07C57A0FDCDEB08C5A7F3AEC4405EFC9F7ADBC0040CFC93EA8D96D6","7000","125","873034","COMPLETE"
"00-book","00-book\Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar.md","183485","182228","1964","D0457201AA9DAE0C07E5388239EB7F24FB694D0D575D6D849E64723E979F13BE","7000","27","182228","COMPLETE"
"00-book","00-book\Chris Calori：《Signage and Wayfinding Design A Complete Guide to Creating Environ.md","599587","594095","6524","0D4493F7E819E7B920AF906EECFAF8A7308AA264A5BED49F6EAFA725042F901B","7000","85","594095","COMPLETE"
"00-book","00-book\Christopher A. Reed：《Gutenberg in Shanghai Chinese Print Capitalism, 1876-1937》.md","1179203","1168198","7455","E93109DA0EFF6CE8500524EABACF913BCF0FD2D1429EE1278772E25A0FCF93D4","7000","167","1168198","COMPLETE"
"00-book","00-book\Christopher Breward：《The Culture of Fashion A New History of Fashionable Dress》，1995.md","529655","528877","18","D2027B6395824EA7B3273FD2BC1499879CAAD0D46FC324F0102A35E27DBDE8F3","7000","76","528877","COMPLETE"
"00-book","00-book\Christopher Burke：《Isotype Design and Contexts, 1925-1971》.md","1301677","1297044","13940","2731133BF450300EE9AB109D12B597C18C86BA9E4724FB4C212F2C38FB1F0BA9","7000","186","1297044","COMPLETE"
"00-book","00-book\Christopher Pinney：《Camera Indica The Social Life of Indian Photographs》.md","429888","424380","2767","6299E6C247F8CDF2925ECB8D583CFDF86F466C143CB7C930617EDF75341D491A","7000","61","424380","COMPLETE"
"00-book","00-book\Clark, Hazel; Brody, David (eds.), Design Studies A Reader, 2009.md","2160326","2140491","70565","BD158928420378D58138F11D5969B73D9EF80643143EF20BF38A192013004F07","7000","306","2140491","COMPLETE"
"00-book","00-book\Clive Dilnot：《A John Heskett Reader Design, History, Economics》.md","825545","820040","3806","3305DB2A459450EEC00C8D750DD1D2BE247F29C4C06BB6E7818F8DCF174D9ABC","7000","118","820040","COMPLETE"
"00-book","00-book\Cole Nussbaumer Knaflic：《Storytelling with Data》.md","382277","377841","3351","BE576866C1FEBBE3DCD9AB82035AD886D758AE281BADA55B5FB3EAD88BF4F872","7000","54","377841","COMPLETE"
"00-book","00-book\Colleen E. Kriger：《Cloth in West African History》.md","1248303","1241332","60","3A49F4AD8DBD6268D233D94BFF430D1FBFD69A4830C5D098A6B8C33F74C1AFED","7000","178","1241332","COMPLETE"
"00-book","00-book\Contextual Design_ Defining Customer-Centered Systems -- Beyer, Hugh, Holtzblatt.md","899311","895927","6806","AD10B22DA152BFBA518819C4529A4572BB8585B7158A4E5AEFB07B421D95BD23","7000","128","895927","COMPLETE"
"00-book","00-book\Cooke, Catherine：Architectural Drawings of the Russian Avant-Garde, 1990.md","241702","241049","6","DF17E582242E4FDB0C3CDD09C9CB18E1A18C0DC73D15B9FFC34DFCF5F9431812","7000","35","241049","COMPLETE"
